región,local / nombre,dirección,unnamed: 3,ciudad / comuna,unnamed: 5,pais,direccionok,direccion_full,lat,lng,h3,h6,h8
Arica y Parinacota,Tricot Arica,21 de Mayo 364,",",Arica,",",Chile,"21 de Mayo 364,Arica,Chile","21 de Mayo 364, Arica, Chile",-18.4816329,-70.3155606,83b304fffffffff,86b30461fffffff,88b304618bfffff
Tarapacá,Tricot Iquique,Vivar 636,",",Iquique,",",Chile,"Vivar 636,Iquique,Chile","Vivar 636, Iquique, Chile",-20.2164773,-70.1486776,83b303fffffffff,86b303147ffffff,88b3031431fffff
Antofagasta,Tricot Antofagasta,Arturo Prat 501,",",Antofagasta,",",Chile,"Arturo Prat 501,Antofagasta,Chile","Arturo Prat 501, Antofagasta, Chile",-23.64802,-70.3971048,83b226fffffffff,86b226047ffffff,88b2260451fffff
Antofagasta,Tricot Antofagasta 2,Arturo Prat 533,",",Antofagasta,",",Chile,"Arturo Prat 533,Antofagasta,Chile","Arturo Prat 533, Antofagasta, Chile",-23.6481988,-70.396933,83b226fffffffff,86b226047ffffff,88b2260451fffff
Atacama,Tricot Copiapó,Los Carreras 501,",",Copiapó,",",Chile,"Los Carreras 501,Copiapó,Chile","Los Carreras 501, Copiapó, Chile",-27.4077791,-70.2822986,83b201fffffffff,86b201407ffffff,88b2014009fffff
Coquimbo,Tricot La Serena,Cordovez 618,",",La Serena,",",Chile,"Cordovez 618,La Serena,Chile","Cordovez 618, La Serena, Chile",-29.9033163,-71.2520305,83b219fffffffff,86b21919fffffff,88b21919dbfffff
Coquimbo,Tricot Connect La Serena,Cordovez 622,",",La Serena,",",Chile,"Cordovez 622,La Serena,Chile","Cordovez 622, La Serena, Chile",-29.9033163,-71.2520305,83b219fffffffff,86b21919fffffff,88b21919dbfffff
Coquimbo,Tricot Coquimbo,Aldunate 1139,",",Coquimbo,",",Chile,"Aldunate 1139,Coquimbo,Chile","Aldunate 1139, Coquimbo, Chile",-29.879147,-71.2471721,83b219fffffffff,86b219187ffffff,88b219183bfffff
Coquimbo,Tricot Ovalle,Coquimbo 354 D,",",Ovalle,",",Chile,"Coquimbo 354 D,Ovalle,Chile","Coquimbo 354 D, Ovalle, Chile",-30.6021037,-71.1995867,83b2e6fffffffff,86b2e68b7ffffff,88b2e68b5dfffff
Valparaíso,Tricot San Felipe,Arturo Prat 93,",",San Felipe,",",Chile,"Arturo Prat 93,San Felipe,Chile","Arturo Prat 93, San Felipe, Chile",-32.7501818,-70.7249266,83b2e3fffffffff,86b2c4b67ffffff,88b2c4b657fffff
Valparaíso,Tricot Connect San Felipe,Portus 266,",",San Felipe,",",Chile,"Portus 266,San Felipe,Chile","Portus 266, San Felipe, Chile",-32.7453681,-70.7210429,83b2e3fffffffff,86b2c4b67ffffff,88b2c4b657fffff
Valparaíso,Tricot Los Andes,Esmeralda 231,",",Los Andes,",",Chile,"Esmeralda 231,Los Andes,Chile","Esmeralda 231, Los Andes, Chile",-32.8329912,-70.5986572,83b2e3fffffffff,86b2e36a7ffffff,88b2e36a39fffff
Valparaíso,Tricot Connect Los Andes,O'Higgins 270-C,",",Los Andes,",",Chile,"O'Higgins 270-C,Los Andes,Chile","O'Higgins 270-C, Los Andes, Chile",-32.8342005,-70.598479,83b2e3fffffffff,86b2e36a7ffffff,88b2e36a39fffff
Valparaíso,Tricot Quillota,Prat 125,",",Quillota,",",Chile,"Prat 125,Quillota,Chile","Prat 125, Quillota, Chile",-32.876898,-71.2438352,83b2c4fffffffff,86b2c4147ffffff,88b2c41405fffff
Valparaíso,Tricot La Calera,Aldunate 250,",",La Calera,",",Chile,"Aldunate 250,La Calera,Chile","Aldunate 250, La Calera, Chile",-32.7866417,-71.191078,83b2c4fffffffff,86b2c48cfffffff,88b2c48cabfffff
Valparaíso,Tricot Quilpué,Diego Portales 822,",",Quilpué,",",Chile,"Diego Portales 822,Quilpué,Chile","Diego Portales 822, Quilpué, Chile",-33.0470763,-71.4409067,83b2c4fffffffff,86b2c40f7ffffff,88b2c40f0bfffff
Valparaíso,Tricot Villa Alemana,Av. Valparaíso 625,",",Villa Alemana,",",Chile,"Av. Valparaíso 625,Villa Alemana,Chile","Av. Valparaíso 625, Villa Alemana, Chile",-33.0456227,-71.3903205,83b2c4fffffffff,86b2c40e7ffffff,88b2c40e2bfffff
Valparaíso,Tricot Connect Villa Alemana,Av. Valparaíso 633,",",Villa Alemana,",",Chile,"Av. Valparaíso 633,Villa Alemana,Chile","Av. Valparaíso 633, Villa Alemana, Chile",-33.0456227,-71.3903205,83b2c4fffffffff,86b2c40e7ffffff,88b2c40e2bfffff
Valparaíso,Tricot Valparaíso,Condell 1435,",",Valparaíso,",",Chile,"Condell 1435,Valparaíso,Chile","Condell 1435, Valparaíso, Chile",-33.0462856,-71.6212796,83b2c4fffffffff,86b2c4097ffffff,88b2c40939fffff
Valparaíso,Tricot Viña del Mar,Valparaíso 360,",",Viña del Mar,",",Chile,"Valparaíso 360,Viña del Mar,Chile","Valparaíso 360, Viña del Mar, Chile",-33.0263786,-71.5431498,83b2c4fffffffff,86b2c4087ffffff,88b2c40803fffff
Valparaíso,Tricot Mall Viña del Mar,Av. Valparaíso 1070,",",Viña del Mar,",",Chile,"Av. Valparaíso 1070,Viña del Mar,Chile","Av. Valparaíso 1070, Viña del Mar, Chile",-33.0264444,-71.5471236,83b2c4fffffffff,86b2c4087ffffff,88b2c40803fffff
Valparaíso,Tricot Outlet Viña del Mar,Camino Internacional 2440,",",Viña del Mar,",",Chile,"Camino Internacional 2440,Viña del Mar,Chile","Camino Internacional 2440, Viña del Mar, Chile",-32.9855875,-71.4993399,83b2c4fffffffff,86b2c40a7ffffff,88b2c40a13fffff
Valparaíso,Tricot Viña 15 Norte,Av. Libertad 1348,",",Viña del Mar,",",Chile,"Av. Libertad 1348,Viña del Mar,Chile","Av. Libertad 1348, Viña del Mar, Chile",-33.0088361,-71.5472973,83b2c4fffffffff,86b2c4087ffffff,88b2c40843fffff
Región Metropolitana,Tricot Puente,Puente 633,",",Santiago,",",Chile,"Puente 633,Santiago,Chile","Puente 633, Santiago, Chile",-33.4357394,-70.6513971,83b2c5fffffffff,86b2c5547ffffff,88b2c55419fffff
Región Metropolitana,Tricot Patronato,Patronato 318,",",Santiago,",",Chile,"Patronato 318,Santiago,Chile","Patronato 318, Santiago, Chile",-33.4297359,-70.6442827,83b2c5fffffffff,86b2c5547ffffff,88b2c556a5fffff
Región Metropolitana,Tricot Concha y Toro,Concha y Toro 110,",",Santiago,",",Chile,"Concha y Toro 110,Santiago,Chile","Concha y Toro 110, Santiago, Chile",-33.4462479,-70.6658676,83b2c5fffffffff,86b2c5547ffffff,88b2c5543bfffff
Región Metropolitana,Tricot Gran Avenida,Gran Avda. José Miguel Carrera 6150,",",San Miguel,",",Chile,"Gran Avda. José Miguel Carrera 6150,San Miguel,Chile","Gran Avda. José Miguel Carrera 6150, San Miguel, Chile",-33.5125768,-70.6559244,83b2c5fffffffff,86b2c5467ffffff,88b2c54609fffff
Región Metropolitana,Tricot Mall Plaza Oeste,Av. Pajaritos 1948,",",Maipú,",",Chile,"Av. Pajaritos 1948,Maipú,Chile","Av. Pajaritos 1948, Maipú, Chile",-33.5094513,-70.7575978,83b2c5fffffffff,86b2c542fffffff,88b2c542bbfffff
Región Metropolitana,Tricot San Bernardo,Eyzaguirre 609,",",San Bernardo,",",Chile,"Eyzaguirre 609,San Bernardo,Chile","Eyzaguirre 609, San Bernardo, Chile",-33.5795154,-70.7008449,83b2c5fffffffff,86b2c5447ffffff,88b2c5442bfffff
O'Higgins,Tricot San Fernando,O'Higgins 646,",",San Fernando,",",Chile,"O'Higgins 646,San Fernando,Chile","O'Higgins 646, San Fernando, Chile",-34.5956242,-70.9824616,83b2c1fffffffff,86b2c14f7ffffff,88b2c14f33fffff
O'Higgins,Tricot Connect San Fernando,Av. O'Higgins 720,",",San Fernando,",",Chile,"Av. O'Higgins 720,San Fernando,Chile","Av. O'Higgins 720, San Fernando, Chile",-34.5985112,-70.9881189,83b2c1fffffffff,86b2c14d7ffffff,88b2c14f37fffff
O'Higgins,Tricot Rengo,Prat 220,",",Rengo,",",Chile,"Prat 220,Rengo,Chile","Prat 220, Rengo, Chile",-34.3973242,-70.8515614,83b2c1fffffffff,86b2c1557ffffff,88b2c1556bfffff
O'Higgins,Tricot Connect Rengo,Prat 211,",",Rengo,",",Chile,"Prat 211,Rengo,Chile","Prat 211, Rengo, Chile",-34.4059501,-70.8590892,83b2c1fffffffff,86b2c1557ffffff,88b2c15567fffff
Maule,Tricot San Javier,Arturo Prat 2370,",",San Javier,",",Chile,"Arturo Prat 2370,San Javier,Chile","Arturo Prat 2370, San Javier, Chile",-35.59491,-71.7326314,83b2ddfffffffff,86b2dd897ffffff,88b2dd893dfffff
Maule,Tricot San Carlos,Av. Independencia 699,",",San Carlos,",",Chile,"Av. Independencia 699,San Carlos,Chile","Av. Independencia 699, San Carlos, Chile",-36.4565978,-71.7643807,83b2d9fffffffff,86b2d98b7ffffff,88b2d98b59fffff
Maule,Tricot Connect San Carlos,Serrano 436,",",San Carlos,",",Chile,"Serrano 436,San Carlos,Chile","Serrano 436, San Carlos, Chile",-36.4325633,-71.9598523,83b2d9fffffffff,86b2d9d57ffffff,88b2d9d549fffff
Maule,Tricot Talca,Serrano 395,",",Talca,",",Chile,"Serrano 395,Talca,Chile","Serrano 395, Talca, Chile",-35.5196688,-71.6886809,83b2ddfffffffff,86b2dd8b7ffffff,88b2dd8b43fffff
Maule,Tricot Talca 2,Av. Lautaro 421,",",Talca,",",Chile,"Av. Lautaro 421,Talca,Chile","Av. Lautaro 421, Talca, Chile",-35.4524321,-72.2784961,83b2dcfffffffff,86b2dcac7ffffff,88b2dcac2bfffff
Bío Bío,Tricot Concepción,Barros Arana 586,",",Concepción,",",Chile,"Barros Arana 586,Concepción,Chile","Barros Arana 586, Concepción, Chile",-36.8276449,-73.0531438,83b2d8fffffffff,86b2d869fffffff,88b2d86987fffff
Bío Bío,Tricot Concepción 2,Av. Bulnes 498,",",Concepción,",",Chile,"Av. Bulnes 498,Concepción,Chile","Av. Bulnes 498, Concepción, Chile",-36.8170844,-73.046163,83b2d8fffffffff,86b2d869fffffff,88b2d8698bfffff
Bío Bío,Tricot Chillán,Manuel Montt 628,",",Chillán,",",Chile,"Manuel Montt 628,Chillán,Chile","Manuel Montt 628, Chillán, Chile",-36.6053014,-72.0908937,83b2d9fffffffff,86b2d9cf7ffffff,88b2d9cf47fffff
Bío Bío,Tricot Los Ángeles,Balmaceda 86,",",Los Ángeles,",",Chile,"Balmaceda 86,Los Ángeles,Chile","Balmaceda 86, Los Ángeles, Chile",-37.4660534,-72.3409474,83b2dbfffffffff,86b2db307ffffff,88b2db3063fffff
Bío Bío,Tricot Los Ángeles 2,Balmaceda 110,",",Los Ángeles,",",Chile,"Balmaceda 110,Los Ángeles,Chile","Balmaceda 110, Los Ángeles, Chile",-37.4660534,-72.3409474,83b2dbfffffffff,86b2db307ffffff,88b2db3063fffff
Araucanía,Tricot Temuco,Manuel Rodríguez 1055,",",Temuco,",",Chile,"Manuel Rodríguez 1055,Temuco,Chile","Manuel Rodríguez 1055, Temuco, Chile",-38.737296,-72.5834127,83ce8afffffffff,86ce8a82fffffff,88ce8a82adfffff
Araucanía,Tricot Villarrica,Pedro de Valdivia 845,",",Villarrica,",",Chile,"Pedro de Valdivia 845,Villarrica,Chile","Pedro de Valdivia 845, Villarrica, Chile",-39.2839632,-72.226803,83ce8efffffffff,86ce8e0f7ffffff,88ce8e0f61fffff
Los Ríos,Tricot Valdivia,Independencia 539,",",Valdivia,",",Chile,"Independencia 539,Valdivia,Chile","Independencia 539, Valdivia, Chile",-39.8127742,-73.246588,83ce8cfffffffff,86ce8c0f7ffffff,88ce8c0f33fffff
Los Lagos,Tricot Puerto Montt 2,Balmaceda 86,",",Puerto Montt,",",Chile,"Balmaceda 86,Puerto Montt,Chile","Balmaceda 86, Puerto Montt, Chile",-41.4685776,-72.9468345,83ceaafffffffff,86ceaa9b7ffffff,88ceaa9b07fffff
Total de tiendas listadas:,,,,62,,,,,34.220389,70.3800314,832093fffffffff,862093cf7ffffff,882093cf2dfffff
